Integrand,consine,consine,consine,C1 function,C1 function,C1 function,normal dist,normal dist,normal dist
Method,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3
2,2.248953720643281,7.087055541094219,7.5089446392206876,1.0480942882008994,5.395928676330764,1.8815621719381128,2.04032929696958,4.954657728407581,9.286053849451472
4,2.0517856370658496,4.417335432219125,22.964145183929556,1.101283335836981,1.1604646721932121,1.9554642797882062,2.009584108651805,4.098113111269401,22.15087305194844
8,2.012427853408877,4.091154622846042,18.836607685739263,1.2267708618468862,1.3870231231081864,2.2432553562878965,2.00236547090619,4.0244941278796675,15.105294708961447
16,2.003076194533694,4.022114696120363,2.2064508774674265,1.6003925412890392,2.378511623246515,6.598752276107266,2.0005894820800685,4.006085183859635,0.0
32,2.0007671498215673,4.0054884027132704,1.7004397181410922,2.1583595694427786,3.218640286483546,2.3844413894783165,2.000147253068106,4.001518617297776,0.0
64,2.0001916691551065,4.001369598119961,-7.651051691178929,2.030757881304929,4.459431618973678,1.786038174032488,2.0000368059275964,4.000379941246431,-4.08746284125034
128,2.000047909957582,4.000341422932368,8.066089190457772,1.9970496494488135,5.395928645039066,1.950341357906995,2.000009201217518,4.000077208851717,3.0874628412503395
256,2.000011977054163,4.0000588895852145,-7.318919345015025,1.9947354367313135,1.1604645852274926,2.214705500845385,2.000002298139743,3.999955482680213,-1.8073549220576042
